GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
3400705470,060,34,007,37980,428,99999,999,Berlin township,5357,2069,5290,2009,5357,5290,4135,4362,620,628,10,9,275,143,0,4,203,64,114,80
3400708170,060,34,007,37980,428,99999,999,Brooklawn borough,1955,806,2354,1025,1955,2354,1718,2125,104,101,2,2,43,25,0,0,40,56,48,45
3400710000,060,34,007,37980,428,99999,999,Camden city,77344,28358,79904,29769,77344,79904,13602,13454,37180,42628,588,435,1637,1958,48,59,21323,18239,2966,3131
3400712280,060,34,007,37980,428,99999,999,Cherry Hill township,71045,28452,69965,27074,71045,69965,55459,59240,4360,3121,78,71,8304,6205,13,24,1302,491,1529,813
3400712550,060,34,007,37980,428,99999,999,Chesilhurst borough,1634,621,1520,535,1634,1520,692,568,758,851,7,3,14,5,0,0,114,44,49,49
3400713420,060,34,007,37980,428,99999,999,Clementon borough,5000,2235,4986,2206,5000,4986,3564,4100,956,577,28,11,105,46,0,9,195,117,152,126
3400714260,060,34,007,37980,428,99999,999,Collingswood borough,13926,6822,14326,6866,13926,14326,11388,12388,1268,955,45,48,307,395,2,3,559,346,357,191
3400726070,060,34,007,37980,428,99999,999,Gibbsboro borough,2274,809,2435,847,2274,2435,2106,2289,49,68,0,10,53,26,0,0,20,18,46,24
3400726760,060,34,007,37980,428,99999,999,Gloucester township,64634,24711,64350,24257,64634,64350,48993,53484,10464,7432,129,100,2374,1688,20,16,1183,715,1471,915
3400726820,060,34,007,37980,428,99999,999,Gloucester City city,11456,4712,11484,4604,11456,11484,10370,11155,352,79,16,21,307,78,0,4,209,74,202,73
3400728740,060,34,007,37980,428,99999,999,Haddon township,14707,6477,14651,6423,14707,14651,13701,13980,220,173,23,8,398,294,2,6,163,82,200,108
3400728770,060,34,007,37980,428,99999,999,Haddonfield borough,11593,4634,11659,4620,11593,11659,11040,11247,129,148,4,15,215,131,0,3,50,37,155,78
3400728800,060,34,007,37980,428,99999,999,Haddon Heights borough,7473,3159,7547,3136,7473,7547,7133,7394,84,30,12,8,98,49,5,3,40,20,101,43
3400732220,060,34,007,37980,428,99999,999,Hi-Nella borough,870,420,1029,495,870,1029,624,731,131,198,6,0,35,32,0,0,49,45,25,23
3400758920,060,34,007,37980,428,99999,999,Pine Valley borough,12,22,20,21,12,20,10,20,0,0,0,0,0,0,0,0,2,0,0,0
3400739210,060,34,007,37980,428,99999,999,Laurel Springs borough,1908,771,1970,806,1908,1970,1772,1859,66,54,2,5,19,19,0,0,25,14,24,19
3400739420,060,34,007,37980,428,99999,999,Lawnside borough,2945,1174,2692,1110,2945,2692,124,47,2616,2520,19,27,42,14,0,2,49,13,95,69
3400740440,060,34,007,37980,428,99999,999,Lindenwold borough,17613,8251,17414,8244,17613,17414,8469,10695,6104,4915,78,83,493,614,4,10,1822,564,643,533
3400742630,060,34,007,37980,428,99999,999,Magnolia borough,4341,1850,4409,1836,4341,4409,3243,3395,793,785,13,10,82,41,2,1,96,68,112,109
3400745510,060,34,007,37980,428,99999,999,Merchantville borough,3821,1688,3801,1607,3821,3801,2926,3265,497,282,14,11,87,80,2,0,169,108,126,55
3400748750,060,34,007,37980,428,99999,999,Mount Ephraim borough,4676,2010,4495,1881,4676,4495,4375,4383,100,18,4,3,32,28,0,1,106,29,59,33
3400753880,060,34,007,37980,428,99999,999,Oaklyn borough,4038,1847,4188,1893,4038,4188,3731,4017,100,48,9,9,73,40,1,1,60,35,64,38
3400757660,060,34,007,37980,428,99999,999,Pennsauken township,35885,13275,35737,12945,35885,35737,17081,21479,9644,8641,210,124,2770,1636,15,7,4877,2954,1288,896
3400758770,060,34,007,37980,428,99999,999,Pine Hill borough,10233,4357,10880,4444,10233,10880,6904,8355,2463,1996,27,30,217,153,5,2,246,132,371,212
3400765160,060,34,007,37980,428,99999,999,Runnemede borough,8468,3548,8533,3510,8468,8533,7496,7831,400,321,25,9,223,132,0,1,185,104,139,135
3400768340,060,34,007,37980,428,99999,999,Somerdale borough,5151,2158,5192,2168,5151,5192,3513,3912,978,917,4,11,309,168,1,1,158,56,188,127
3400771220,060,34,007,37980,428,99999,999,Stratford borough,7040,2761,7271,2849,7040,7271,5799,6439,580,480,13,9,297,173,5,1,195,63,151,106
3400772240,060,34,007,37980,428,99999,999,Tavistock borough,5,3,24,7,5,24,5,22,0,2,0,0,0,0,0,0,0,0,0,0
3400776220,060,34,007,37980,428,99999,999,Voorhees township,29131,12260,28126,11084,29131,28126,20908,22011,2534,2249,44,38,4700,3217,11,8,246,156,688,447
3400777630,060,34,007,37980,428,99999,999,Waterford township,10649,3839,10494,3671,10649,10494,9647,9733,514,439,11,22,124,94,3,1,166,70,184,135
3400781740,060,34,007,37980,428,99999,999,Winslow township,39499,14560,34611,12413,39499,34611,21491,22670,14287,10154,113,104,1224,449,14,10,1172,547,1198,677
3400782450,060,34,007,37980,428,99999,999,Woodlynne borough,2978,1016,2796,1012,2978,2796,839,1354,999,635,21,16,289,343,1,0,688,324,141,124
3400902320,060,34,009,36140,999,99999,999,Avalon borough,1334,5434,2143,5281,1334,2143,1308,2115,4,3,4,0,3,12,0,1,2,1,13,11
3400910270,060,34,009,36140,999,99999,999,Cape May city,3607,4155,4034,4064,3607,4034,3212,3684,175,212,11,8,24,16,4,2,83,51,98,61
3400910330,060,34,009,36140,999,99999,999,Cape May Point borough,291,619,241,501,291,241,275,229,8,5,0,0,1,1,0,0,1,0,6,6
3400917560,060,34,009,36140,999,99999,999,Dennis township,6467,2672,6492,2327,6467,6492,6257,6325,51,62,12,6,36,28,2,1,21,40,88,30
3400941610,060,34,009,36140,999,99999,999,Lower township,22866,14507,22945,13924,22866,22945,21549,22088,456,319,37,52,142,121,10,5,275,150,397,210
3400945810,060,34,009,36140,999,99999,999,Middle township,18911,9296,16405,7510,18911,16405,15716,13979,1969,1781,34,37,339,236,9,4,373,108,471,260
3400953490,060,34,009,36140,999,99999,999,North Wildwood city,4041,8840,4935,7411,4041,4935,3838,4768,46,40,13,4,14,28,0,1,51,38,79,56
3400954360,060,34,009,36140,999,99999,999,Ocean City city,11701,20871,15378,20298,11701,15378,10771,14389,410,663,15,18,83,86,3,10,224,80,195,132
3400966390,060,34,009,36140,999,99999,999,Sea Isle City city,2114,6900,2835,6622,2114,2835,2085,2775,2,8,5,11,4,10,0,1,10,2,8,28
3400971010,060,34,009,36140,999,99999,999,Stone Harbor borough,866,3247,1128,3428,866,1128,841,1114,14,9,0,0,1,0,0,0,6,2,4,3
3400974810,060,34,009,36140,999,99999,999,Upper township,12373,6341,12115,5472,12373,12115,11954,11823,72,83,16,15,92,74,1,7,89,23,149,90
3400978530,060,34,009,36140,999,99999,999,West Cape May borough,1024,1043,1095,1004,1024,1095,879,921,89,159,8,4,2,0,0,0,32,6,14,5
3400980210,060,34,009,36140,999,99999,999,West Wildwood borough,603,893,448,775,603,448,575,429,9,0,0,0,0,1,0,0,4,10,15,8
3400981170,060,34,009,36140,999,99999,999,Wildwood city,5325,6843,5436,6488,5325,5436,3623,3835,594,905,39,21,42,26,7,8,865,481,155,160
3400981200,060,34,009,36140,999,99999,999,Wildwood Crest borough,3270,5569,3980,4862,3270,3980,3047,3776,55,49,5,4,33,19,0,0,59,88,71,44
3400981890,060,34,009,36140,999,99999,999,Woodbine borough,2472,1079,2716,1080,2472,2716,1439,1450,611,880,6,6,18,3,0,0,304,299,94,78
3401100000,060,34,011,47220,428,99999,999,County subdivisions not defined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401107600,060,34,011,47220,428,99999,999,Bridgeton city,25349,6782,22771,6795,25349,22771,8274,8854,8996,9528,350,271,153,159,12,20,6518,3112,1046,827
3401114710,060,34,011,47220,428,99999,999,Commercial township,5178,2115,5259,2171,5178,5259,4335,4364,530,706,18,22,27,12,0,1,79,53,189,101
3401116900,060,34,011,47220,428,99999,999,Deerfield township,3119,1143,2927,1065,3119,2927,2284,2289,376,382,66,45,42,30,0,0,231,89,120,92
3401118220,060,34,011,47220,428,99999,999,Downe township,1585,996,1631,1134,1585,1631,1468,1485,41,79,8,24,4,3,0,0,26,16,38,24
3401122350,060,34,011,47220,428,99999,999,Fairfield township,6295,2058,6283,1915,6295,6283,2360,2602,2992,2980,321,319,28,35,2,2,288,150,304,195
3401128170,060,34,011,47220,428,99999,999,Greenwich township,804,369,847,361,804,847,735,762,30,43,10,22,4,2,0,0,5,1,20,17
3401133120,060,34,011,47220,428,99999,999,Hopewell township,4571,1741,4434,1683,4571,4434,3857,3862,301,306,99,103,26,25,0,1,148,64,140,73
3401139450,060,34,011,47220,428,99999,999,Lawrence township,3290,1221,2721,1023,3290,2721,2666,2228,304,283,38,29,13,7,1,5,165,93,103,76
3401144580,060,34,011,47220,428,99999,999,Maurice River township,7976,1506,6928,1461,7976,6928,4629,4062,2874,2285,35,54,28,19,2,1,274,307,134,200
3401146680,060,34,011,47220,428,99999,999,Millville city,28400,11435,26847,10652,28400,26847,19608,20438,5631,4025,266,139,338,216,18,8,1488,1384,1051,637
3401167020,060,34,011,47220,428,99999,999,Shiloh borough,516,214,534,204,516,534,484,508,9,14,12,3,1,0,0,0,3,0,7,9
3401171160,060,34,011,47220,428,99999,999,Stow Creek township,1431,568,1429,560,1431,1429,1307,1335,64,50,20,23,4,3,0,0,14,12,22,6
3401174870,060,34,011,47220,428,99999,999,Upper Deerfield township,7660,3025,7556,2881,7660,7556,5720,5725,993,1240,97,61,203,231,0,1,412,138,235,160
3401176070,060,34,011,47220,428,99999,999,Vineland city,60724,22661,56271,20958,60724,56271,40703,37964,8600,7664,406,304,1036,655,24,43,7841,7881,2114,1760
3401304695,060,34,013,35620,408,99999,999,Belleville township,35926,14327,35928,14144,35926,35928,21753,24950,3277,1926,126,60,4312,4062,18,26,5018,3532,1422,1372
3401306260,060,34,013,35620,408,99999,999,Bloomfield township,47315,19470,47683,19508,47315,47683,28205,33421,8757,5573,193,91,3891,3998,21,31,4423,3061,1825,1508
3401311200,060,34,013,35620,408,99999,999,Cedar Grove township,12411,4661,12300,4470,12411,12300,11047,11076,306,368,6,6,811,667,1,3,106,57,134,123
3401313045,060,34,013,35620,408,99999,999,City of Orange township,30134,12222,32868,12665,30134,32868,3857,4337,21645,24685,173,113,455,415,6,33,2999,1712,999,1573
3401319390,060,34,013,35620,408,99999,999,East Orange city,64270,28803,69824,28485,64270,69824,2657,2683,56887,62462,248,177,465,302,38,51,2370,1496,1605,2653
3401321840,060,34,013,35620,408,99999,999,Essex Fells borough,2113,758,2162,761,2113,2162,1998,2096,23,10,0,4,46,22,0,0,5,3,41,27
3401322385,060,34,013,35620,408,99999,999,Fairfield township,7466,2723,7063,2326,7466,7063,7081,6754,51,37,21,7,189,199,0,0,55,28,69,38
3401326610,060,34,013,35620,408,99999,999,Glen Ridge borough,7527,2541,7271,2490,7527,7271,6489,6484,379,362,3,11,350,243,0,0,103,72,203,99
3401334450,060,34,013,35620,408,99999,999,Irvington township,53926,23196,60695,24116,53926,60695,3042,5446,46058,49566,204,146,471,669,38,59,2922,2234,1191,2575
3401340890,060,34,013,35620,408,99999,999,Livingston township,29366,10284,27391,9457,29366,27391,22367,22637,663,328,20,14,5642,3982,5,3,254,190,415,237
3401343800,060,34,013,35620,408,99999,999,Maplewood township,23867,8608,23868,8615,23867,23868,13430,14030,8426,7788,44,31,725,682,6,7,434,373,802,957
3401346380,060,34,013,35620,408,99999,999,Millburn township,20149,7106,19765,7158,20149,19765,16154,17573,329,217,6,10,3155,1660,5,6,103,85,397,214
3401347500,060,34,013,35620,408,99999,999,Montclair township,37669,15911,38977,15531,37669,38977,23416,23297,10230,12497,59,73,1434,1228,9,14,826,688,1695,1180
3401351000,060,34,013,35620,408,99999,999,Newark city,277140,109520,273546,100141,277140,273546,72914,72537,145085,146250,1697,1005,4485,3263,118,135,42181,38430,10660,11926
3401352620,060,34,013,35620,408,99999,999,North Caldwell borough,6183,2134,7375,2108,6183,7375,5669,5873,45,1070,2,2,354,347,0,0,30,19,83,64
3401353680,060,34,013,35620,408,99999,999,Nutley township,28370,11789,27362,11118,28370,27362,23405,24064,628,511,36,15,2824,1943,4,10,842,480,631,339
3401364590,060,34,013,35620,408,99999,999,Roseland borough,5819,2432,5298,2187,5819,5298,5280,4950,106,38,4,2,337,250,0,0,29,23,63,35
3401369274,060,34,013,35620,408,99999,999,South Orange Village township,16198,5815,16964,5671,16198,16964,9750,10248,4642,5309,23,16,836,660,1,5,287,266,659,460
3401375815,060,34,013,35620,408,99999,999,Verona township,13332,5523,13533,5719,13332,13533,12164,12585,262,207,4,3,537,462,1,8,148,96,216,172
3401378510,060,34,013,35620,408,99999,999,West Caldwell township,10759,4009,11233,4044,10759,11233,9996,10541,136,100,5,4,421,432,2,4,79,68,120,84
3401379800,060,34,013,35620,408,99999,999,West Orange township,46207,17612,44943,16901,46207,44943,26406,30359,12284,7848,174,63,3680,3635,10,17,2227,1584,1426,1437
3401513360,060,34,015,37980,428,99999,999,Clayton borough,8179,3128,7139,2680,8179,7139,6120,5656,1473,1146,30,30,147,47,2,2,130,68,277,190
3401517710,060,34,015,37980,428,99999,999,Deptford township,30561,12361,26763,10647,30561,26763,24082,22330,3717,3314,73,56,1361,410,12,9,622,266,694,378
3401519180,060,34,015,37980,428,99999,999,East Greenwich township,9555,3405,5430,1971,9555,5430,8451,5141,560,177,13,7,345,35,5,0,56,13,125,57
3401521060,060,34,015,37980,428,99999,999,Elk township,4216,1576,3514,1347,4216,3514,3362,2884,623,501,22,20,27,15,0,0,72,48,110,46
3401524840,060,34,015,37980,428,99999,999,Franklin township,16820,6104,15466,5461,16820,15466,14876,13954,1208,1030,34,48,213,63,5,2,174,193,310,176
3401526340,060,34,015,37980,428,99999,999,Glassboro borough,18579,6590,19068,6555,18579,19068,13423,14212,3469,3712,21,32,534,441,10,17,580,282,542,372
3401528185,060,34,015,37980,428,99999,999,Greenwich township,4899,2048,4879,1944,4899,4879,4567,4613,196,162,3,5,37,33,0,1,20,13,76,52
3401530180,060,34,015,37980,428,99999,999,Harrison township,12417,4089,8788,2939,12417,8788,11246,8363,475,260,11,11,420,64,0,0,59,36,206,54
3401541160,060,34,015,37980,428,99999,999,Logan township,6042,2172,6032,2077,6042,6032,4926,4946,755,815,9,8,154,107,1,1,68,73,129,82
3401543440,060,34,015,37980,428,99999,999,Mantua township,15217,5980,14217,5411,15217,14217,14340,13622,380,294,31,28,168,122,1,0,100,40,197,111
3401547250,060,34,015,37980,428,99999,999,Monroe township,36129,13387,28967,11069,36129,28967,28689,24573,5060,3231,73,72,875,356,5,9,557,286,870,440
3401549680,060,34,015,37980,428,99999,999,National Park borough,3036,1153,3205,1165,3036,3205,2923,3152,41,3,5,8,18,8,0,1,4,17,45,16
3401551390,060,34,015,37980,428,99999,999,Newfield borough,1553,626,1616,620,1553,1616,1470,1537,34,21,4,11,5,9,0,0,15,17,25,21
3401557150,060,34,015,37980,428,99999,999,Paulsboro borough,6097,2533,6160,2628,6097,6160,3322,3915,2239,1949,21,15,43,20,4,6,143,81,325,174
3401559070,060,34,015,37980,428,99999,999,Pitman borough,9011,3705,9331,3653,9011,9331,8658,9066,103,85,8,11,56,58,3,1,58,21,125,89
3401569030,060,34,015,37980,428,99999,999,South Harrison township,3162,1056,2417,829,3162,2417,2896,2250,160,91,0,1,38,7,1,1,30,53,37,14
3401571850,060,34,015,37980,428,99999,999,Swedesboro borough,2584,1004,2055,860,2584,2055,1804,1581,388,339,15,1,35,7,2,0,245,69,95,58
3401577180,060,34,015,37980,428,99999,999,Washington township,48559,17810,47114,16020,48559,47114,42588,42497,2825,2286,52,39,1836,1558,9,6,415,252,834,476
3401578110,060,34,015,37980,428,99999,999,Wenonah borough,2278,860,2317,860,2278,2317,2193,2260,21,25,3,2,24,15,1,0,5,0,31,15
3401578800,060,34,015,37980,428,99999,999,West Deptford township,21677,9441,19368,7999,21677,19368,19283,17875,1414,984,25,45,415,219,3,4,187,82,350,159
3401580120,060,34,015,37980,428,99999,999,Westville borough,4288,1912,4500,1938,4288,4500,3839,4206,210,122,7,6,64,45,2,1,99,58,67,62
3401582120,060,34,015,37980,428,99999,999,Woodbury city,10174,4456,10307,4310,10174,10307,6716,7467,2534,2353,23,23,130,102,28,14,325,132,418,216
3401582180,060,34,015,37980,428,99999,999,Woodbury Heights borough,3055,1125,2988,1045,3055,2988,2840,2879,104,46,5,8,50,30,1,0,11,14,44,11
3401582840,060,34,015,37980,428,99999,999,Woolwich township,10200,3275,3032,1026,10200,3032,8276,2763,1017,138,13,0,614,34,0,0,80,59,200,38
3401703580,060,34,017,35620,408,99999,999,Bayonne city,63024,27799,61842,26826,63024,61842,43618,48631,5584,3416,194,106,4861,2562,16,30,6303,4611,2448,2486
3401719360,060,34,017,35620,408,99999,999,East Newark borough,2406,794,2377,799,2406,2377,1516,1593,46,40,10,12,188,60,1,1,551,499,94,172
3401728650,060,34,017,35620,408,99999,999,Guttenberg town,11176,4839,10807,4650,11176,10807,7537,7022,537,412,102,41,818,789,4,1,1593,1775,585,767
3401730210,060,34,017,35620,408,99999,999,Harrison town,13620,5228,14424,5254,13620,14424,7941,9534,297,142,76,57,2217,1715,2,4,2517,2302,570,670
3401732250,060,34,017,35620,408,99999,999,Hoboken city,50005,26855,38577,19915,50005,38577,41124,31178,1767,1644,73,60,3558,1661,15,21,2144,2942,1324,1071
3401736000,060,34,017,35620,408,99999,999,Jersey City city,247597,108720,240055,93648,247597,240055,80885,81637,64002,67994,1272,1071,58595,38881,161,181,31726,36280,10956,14011
3401736510,060,34,017,35620,408,99999,999,Kearny town,40684,14180,40513,13872,40684,40513,29933,30687,2186,1609,163,148,1793,2228,32,27,5099,4068,1478,1746
3401752470,060,34,017,35620,408,99999,999,North Bergen township,60773,23912,58092,22009,60773,58092,40705,39131,2456,1581,535,235,3979,3756,49,28,10107,9023,2942,4338
3401766570,060,34,017,35620,408,99999,999,Secaucus town,16264,6846,15931,6385,16264,15931,11125,12512,668,709,32,18,3318,1880,6,7,713,445,402,360
3401774630,060,34,017,35620,408,99999,999,Union City city,66455,24931,67088,23741,66455,67088,38549,39167,3487,2442,819,467,1587,1441,33,54,18231,18911,3749,4606
3401777930,060,34,017,35620,408,99999,999,Weehawken township,12554,6213,13501,6159,12554,13501,9020,9862,606,483,61,27,1024,630,1,14,1351,1882,491,603
3401779610,060,34,017,35620,408,99999,999,West New York town,49708,20018,45768,17360,49708,45768,30839,27503,2289,1626,744,305,2986,1339,24,15,10038,11515,2788,3465
3401900550,060,34,019,35620,408,99999,999,Alexandria township,4938,1865,4698,1598,4938,4698,4681,4558,99,37,2,5,90,34,1,2,31,21,34,41
3401905650,060,34,019,35620,408,99999,999,Bethlehem township,3979,1386,3820,1303,3979,3820,3806,3725,39,33,4,4,75,39,0,2,20,1,35,16
3401906370,060,34,019,35620,408,99999,999,Bloomsbury borough,870,358,886,342,870,886,830,870,9,3,0,2,16,3,0,0,3,1,12,7
3401909280,060,34,019,35620,408,99999,999,Califon borough,1076,419,1055,410,1076,1055,1034,1041,3,0,1,0,9,8,0,0,1,0,28,6
3401913720,060,34,019,35620,408,99999,999,Clinton town,2719,1098,2632,1095,2719,2632,2434,2423,36,35,6,12,181,98,0,0,17,36,45,28
3401913750,060,34,019,35620,408,99999,999,Clinton township,13478,4737,12957,4234,13478,12957,11649,11365,810,902,27,26,525,304,6,9,241,206,220,145
3401917170,060,34,019,35620,408,99999,999,Delaware township,4563,1927,4478,1701,4563,4478,4401,4375,30,18,8,2,42,46,0,1,23,11,59,25
3401918820,060,34,019,35620,408,99999,999,East Amwell township,4013,1580,4455,1624,4013,4455,3845,4320,50,32,2,6,57,41,0,1,27,21,32,34
3401923700,060,34,019,35620,408,99999,999,Flemington borough,4581,1926,4200,1876,4581,4200,3595,3684,180,134,14,13,266,131,1,7,399,132,126,99
3401924870,060,34,019,35620,408,99999,999,Franklin township,3195,1204,2990,1125,3195,2990,3094,2916,22,12,5,7,40,23,3,0,14,10,17,22
3401925350,060,34,019,35620,408,99999,999,Frenchtown borough,1373,656,1488,630,1373,1488,1327,1428,11,6,5,3,13,18,0,0,1,20,16,13
3401926550,060,34,019,35620,408,99999,999,Glen Gardner borough,1704,825,1902,829,1704,1902,1611,1820,30,17,1,2,31,28,0,2,6,11,25,22
3401929460,060,34,019,35620,408,99999,999,Hampton borough,1401,612,1546,574,1401,1546,1293,1407,35,77,10,6,26,15,1,0,14,12,22,29
3401931320,060,34,019,35620,408,99999,999,High Bridge borough,3648,1481,3776,1478,3648,3776,3399,3634,48,30,8,13,116,54,0,1,27,17,50,27
3401932460,060,34,019,35620,408,99999,999,Holland township,5291,2066,5124,1942,5291,5124,5165,5026,38,22,3,2,41,22,2,0,15,20,27,32
3401937065,060,34,019,35620,408,99999,999,Kingwood township,3845,1569,3782,1422,3845,3782,3711,3692,25,23,1,3,42,29,0,0,20,7,46,28
3401938610,060,34,019,35620,408,99999,999,Lambertville city,3906,2075,3868,1961,3906,3868,3566,3661,76,75,8,13,51,41,0,2,161,35,44,41
3401939630,060,34,019,35620,408,99999,999,Lebanon borough,1358,664,1065,477,1358,1065,1224,1016,24,7,2,2,71,33,0,0,12,4,25,3
3401939660,060,34,019,35620,408,99999,999,Lebanon township,6588,2439,5816,2020,6588,5816,6259,5640,111,47,4,6,97,54,7,1,39,22,71,46
3401946260,060,34,019,35620,408,99999,999,Milford borough,1233,552,1195,484,1233,1195,1200,1166,3,2,2,2,12,5,1,4,3,1,12,15
3401961920,060,34,019,35620,408,99999,999,Raritan township,22185,8288,19809,7094,22185,19809,19870,18466,459,244,23,17,1319,693,9,2,185,135,320,252
3401962250,060,34,019,35620,408,99999,999,Readington township,16126,6191,15803,5794,16126,15803,15011,15035,214,120,18,10,581,405,1,0,124,84,177,149
3401970980,060,34,019,35620,408,99999,999,Stockton borough,538,259,560,258,538,560,529,552,0,0,0,0,5,5,0,0,0,0,4,3
